id,nome,sexo,data_nascimento,uf,email,telefone,faixa_renda,tipo_carro,forma_pagamento
72,Vitória,F,16/06/1973,SP,caleb57@example.org,+55 93 9 0693 1739,43490.16,Médio,Boleto Bancário
73,Isaac,M,10/01/2007,BA,silveirabruno@example.com,+55 89 91090 4292,55210.21,Crossover,Cartão de Crédito
74,João Guilherme,M,27/05/1967,MT,tsilveira@example.net,+55 (44) 9 3459 2183,25541.65,Conversível,Cartão de Débito
75,Olívia,F,26/12/1980,RS,leandrosiqueira@example.net,+55 55 9 4941-3068,57965.65,Van,Cartão de Crédito
76,Gael Henrique,M,13/08/1950,SC,diasbeatriz@example.org,+55 32 93562-5869,36009.48,Coupé,Carteira Digital
77,Francisco,M,12/05/1956,GO,goncalveseloah@example.net,+55 (91) 9 0937 2692,22924.6,Picape,Pix
78,Amanda,F,09/05/1970,TO,joao-lucascasa-grande@example.com,+55 82 96120 8359,53266.88,SUV,Leasing
79,Rafael,M,05/10/1955,AP,joao-felipealmeida@example.com,+55 57 93397 8661,19129.89,Crossover,Leasing
80,Erick,M,14/09/1962,ES,wnascimento@example.net,+55 (53) 9 2705 3042,35658.91,Conversível,Transferência Bancária
81,Henry,M,02/04/2003,TO,julia76@example.com,+55 (074) 94486 0233,26527.37,SUV,Cartão de Crédito
82,Gustavo Henrique,M,10/01/1960,CE,zcaldeira@example.org,+55 (012) 96229-8396,7308.45,Picape,Boleto Bancário
83,Marcela,F,19/11/1969,AC,diegonascimento@example.org,+55 29 94199 3374,57384.16,Esportivo,Carteira Digital
84,Lunna,F,12/02/1959,MG,hda-cruz@example.com,+55 (062) 98562-4635,41020.98,Crossover,Cartão de Crédito
85,Bárbara,F,23/11/1976,PI,theodoro08@example.net,+55 07 90629 2435,5755.41,Elétrico,Financiamento
86,Luiz Otávio,M,17/07/1965,AL,pimentastephany@example.net,+55 54 90474-0698,57490.33,Crossover,Dinheiro
87,Isabela,F,04/05/1995,PI,barrosmatheus@example.org,+55 01 95260-4595,26152.96,Elétrico,Pix
88,Guilherme,M,27/12/1995,RN,davi-luccacassiano@example.org,+55 50 98118 9785,42196.85,Luxo,Pix
89,Caroline,F,10/02/1973,MT,mathias00@example.com,+55 51 9 3363 9483,51956.86,Hatch,Financiamento
90,Manuella,F,18/09/1969,AL,joao-vitorribeiro@example.net,+55 (79) 9 9836-5655,59559.34,Compacto,Boleto Bancário
91,Otto,M,09/03/1955,SP,esther02@example.net,+55 86 9 7380 5337,27597.67,Sedan,Pix
92,Maria Helena,F,15/09/1969,RS,cda-mota@example.net,+55 (24) 9 1066 1401,28431.52,Minivan,Financiamento
93,Renan,M,16/12/1997,RS,csampaio@example.net,+55 00 9 6322-3960,12961.87,Utilitário,Cartão de Crédito
94,Augusto,M,16/11/1958,SP,cporto@example.com,+55 (44) 94251-7218,45203.48,Crossover,Leasing
95,Diogo,M,22/06/2000,MS,jose-pedro44@example.org,+55 (09) 94681 5300,17994.9,SUV,Carteira Digital
96,Aylla,F,05/06/1963,MT,brayanda-conceicao@example.net,+55 (42) 99407-3625,42938.22,Picape,Leasing
97,Manuella,F,23/09/1948,PI,zmarques@example.org,+55 66 90663-8395,42491.63,Esportivo,Pix
98,Luigi,M,20/06/2000,RR,alvesrafael@example.net,+55 (029) 90996-4509,45387.37,Sedan,Pix
99,Ravy,M,17/11/1974,RO,moraesjuliana@example.com,+55 29 98584-9094,39271.22,SUV,Carteira Digital
100,Isis,F,15/12/1995,ES,cardosopietro@example.org,+55 (65) 9 6307 5274,8457.58,Elétrico,Financiamento
101,Francisco,M,01/01/1947,SP,lunarodrigues@example.net,+55 (082) 95556-2813,7784.56,Off-road,Transferência Bancária
102,Sara,F,27/02/1948,BA,cirinoleticia@example.com,+55 13 94381 2399,20597.16,Coupé,Leasing
103,Davi,M,18/08/1972,ES,liviasilva@example.com,+55 (030) 98169-4243,30214.51,SUV,Cartão de Crédito
104,Arthur Gabriel,M,02/09/1976,SP,leticia83@example.net,+55 (041) 93771 3097,17829.93,Conversível,Financiamento
105,Eloá,F,13/05/1960,MS,wsilveira@example.net,+55 (033) 96607-4784,7660.4,SUV,Leasing
106,Maria Liz,F,22/11/1951,MT,sara93@example.com,+55 (04) 9 7219 5796,10753.96,Hatch,Financiamento
107,Léo,M,20/11/1992,TO,borgescatarina@example.net,+55 (027) 98918 4420,6983.24,Crossover,Cartão de Crédito
108,Eloá,F,29/01/1956,SP,oda-cunha@example.org,+55 10 93937 1563,7219.39,Esportivo,Cartão de Débito
109,Brayan,M,01/09/1971,AL,costalucas-gabriel@example.org,+55 (70) 9 7065 7660,19997.17,Sedan,Transferência Bancária
110,Ana Carolina,F,03/05/1975,PA,fvieira@example.net,+55 (93) 94387 8837,7161.51,Off-road,Carteira Digital
111,Noah,M,23/12/1981,RN,vcunha@example.org,+55 83 9 3718-9243,52326.2,Coupé,Cartão de Crédito
112,Gabriela,F,18/02/1989,RO,ngomes@example.org,+55 98 93974-6314,44977.28,Coupé,Transferência Bancária
113,Hellena,F,28/03/1955,PR,vieirapedro-lucas@example.com,+55 (95) 9 0080-1657,23550.18,Conversível,Boleto Bancário
114,Theo,M,08/07/1975,SE,da-rosajoaquim@example.org,+55 51 93603 8617,30593.98,Van,Boleto Bancário
115,Mirella,F,27/04/1979,SC,oliviasousa@example.net,+55 (64) 9 9442 1172,6251.76,Crossover,Dinheiro
116,Pedro Miguel,M,10/02/1982,PR,vitoria09@example.net,+55 (33) 91068-0857,19387.78,Off-road,Dinheiro
117,Giovanna,F,26/10/1955,MG,lcunha@example.com,+55 (64) 9 4406-6188,21231.56,Off-road,Transferência Bancária
118,Enzo Gabriel,M,28/02/1997,PA,jguerra@example.net,+55 95 9 3770 0326,24717.63,Picape,Pix
119,Maria Liz,F,27/09/1987,MG,wviana@example.org,+55 63 9 1801-1456,31925.34,Conversível,Financiamento
120,Henry,M,18/03/1952,TO,mendesclarice@example.net,+55 (13) 9 9002-6400,28534.1,Coupé,Dinheiro
121,Maria Liz,F,17/10/1964,RJ,calebelopes@example.com,+55 (89) 94227 6879,39459.68,Esportivo,Leasing
122,José,M,30/09/1995,RJ,ffernandes@example.org,+55 (80) 96817 9719,39801.66,Picape,Cartão de Débito
123,Pietro,M,07/11/1988,SP,yasminsouza@example.net,+55 (020) 97934 3233,42467.07,Crossover,Transferência Bancária
124,Thales,M,29/04/1977,BA,ioliveira@example.org,+55 30 9 7265 1728,29542.63,Luxo,Transferência Bancária
125,Clara,F,14/04/1997,GO,cavalcantimarcela@example.com,+55 (000) 90960-8651,23914.67,Compacto,Boleto Bancário
126,Rael,M,10/02/1959,MA,rgomes@example.com,+55 (89) 98235 8768,7722.27,Esportivo,Cartão de Débito
127,Brayan,M,06/12/1980,AC,da-pazana-carolina@example.net,+55 (66) 91123 9508,11176.41,Picape,Boleto Bancário
128,Maria Luísa,F,04/06/1948,GO,ufarias@example.net,+55 (02) 90668-4969,40737.18,Luxo,Financiamento
129,Raul,M,15/05/2000,TO,sabrinasilva@example.net,+55 55 98776-9883,40135.08,Coupé,Transferência Bancária
130,Augusto,M,30/10/1975,RN,fariasjulia@example.net,+55 37 91754 0306,45780.65,SUV,Dinheiro
131,Pedro Lucas,M,18/07/2006,MS,diego14@example.net,+55 26 9 6624-6209,55633.67,Híbrido,Carteira Digital
132,Ana Laura,F,18/04/1989,PB,agathavieira@example.com,+55 (03) 9 2514-0371,46702.32,Utilitário,Pix
133,Diogo,M,22/08/1999,CE,ana-juliamendes@example.org,+55 51 9 5222 2851,19132.15,Compacto,Dinheiro
134,Gustavo Henrique,M,23/09/1968,MG,thomas12@example.net,+55 (48) 98549 4643,10489.67,Médio,Dinheiro
135,Pedro,M,29/03/1990,RS,julia75@example.net,+55 (068) 94887-2955,36279.2,Minivan,Transferência Bancária
136,Fernanda,F,28/09/1992,AC,rodrigueszoe@example.com,+55 (80) 9 8017 7277,53663.92,SUV,Carteira Digital
137,Stephany,F,15/02/1990,RJ,tmelo@example.org,+55 (041) 95762-6076,30180.07,Picape,Cartão de Débito
138,Manuela,F,05/04/1984,RJ,pedro-lucas55@example.org,+55 (016) 95708-7207,21475.11,Compacto,Cartão de Crédito
139,Luigi,M,19/10/1979,MS,maria-aliceda-luz@example.org,+55 (04) 91386-9800,11654.8,Híbrido,Cartão de Débito
140,Melina,F,02/03/1989,CE,isabellyazevedo@example.net,+55 (86) 9 8405-1870,36064.27,Van,Boleto Bancário
141,Luiz Fernando,M,17/11/1993,MA,ovieira@example.org,+55 (012) 96963 5788,34784.99,Esportivo,Leasing
142,Davi Lucca,M,04/03/1995,GO,isabelasousa@example.net,+55 41 9 7922 2137,26101.12,Van,Cartão de Crédito
143,Alana,F,13/08/1995,TO,isabelanunes@example.net,+55 04 9 5275-3167,37640.23,Minivan,Dinheiro
144,Vitor,M,31/10/1954,AL,rodriguesenzo@example.net,+55 32 9 6806-9701,54243.14,Compacto,Transferência Bancária
145,Ana Sophia,F,02/10/1963,RN,isis95@example.net,+55 91 9 8293-8328,33841.31,Coupé,Leasing
146,José Pedro,M,25/02/1951,MG,igor22@example.org,+55 (53) 9 9927-5272,51455.59,Hatch,Financiamento
147,Ana Clara,F,20/05/2004,MA,calebe09@example.org,+55 (72) 98500-9752,29691.03,Híbrido,Dinheiro
148,Maria Luiza,F,12/04/1987,AM,rodriguesana-luiza@example.org,+55 (074) 90647 1197,22957.73,Conversível,Pix
149,Ísis,F,28/08/2006,DF,caroline15@example.com,+55 (064) 90632-4678,48519.12,Elétrico,Dinheiro
150,Sara,F,12/08/1945,AL,asampaio@example.org,+55 (019) 94557 5953,32968.9,Hatch,Boleto Bancário
151,Marcela,F,15/12/1949,MS,costelarebeca@example.net,+55 (68) 9 7922 3854,8187.44,Van,Dinheiro
152,Breno,M,21/06/1981,DF,souzayago@example.org,+55 49 92867 1563,51740.35,Minivan,Financiamento
153,Francisco,M,05/08/2001,GO,wvieira@example.org,+55 (58) 98460-1325,6557.89,Coupé,Leasing
154,Letícia,F,05/08/2003,GO,samuelcirino@example.org,+55 04 9 5212 6773,46900.38,Sedan,Financiamento
155,Cecília,F,24/12/1979,RJ,snogueira@example.org,+55 (02) 9 4295 3594,29138.92,Conversível,Transferência Bancária
156,João Felipe,M,18/01/1993,RN,leaorodrigo@example.org,+55 (05) 97091-5123,42512.71,Médio,Cartão de Débito
157,Heloísa,F,14/02/1961,RS,felipe63@example.com,+55 39 9 3649 6098,37676.74,Coupé,Cartão de Crédito
158,Benício,M,20/08/1984,RJ,emanuellaazevedo@example.net,+55 (21) 92611 2326,57616.86,Sedan,Cartão de Crédito
159,Anthony,M,13/08/1977,CE,cbarbosa@example.org,+55 97 9 0121-8790,30772.94,Van,Carteira Digital
160,Marcela,F,07/05/1955,AP,maria-helena56@example.org,+55 (11) 94545-7952,14974.63,Hatch,Pix
161,Ana Vitória,F,29/12/1975,ES,lmoraes@example.com,+55 39 91836-2465,12762.83,Elétrico,Transferência Bancária
162,Aylla,F,05/10/1991,PA,haparecida@example.net,+55 64 9 1153 3070,7271.51,Esportivo,Transferência Bancária
163,Antônio,M,24/03/1963,CE,antonymacedo@example.net,+55 (031) 93291 1506,37119.09,Elétrico,Cartão de Débito
164,Pietra,F,29/08/1988,AM,mouradaniel@example.com,+55 (31) 94006 6891,44295.23,Utilitário,Transferência Bancária
165,Agatha,F,23/07/1953,PA,maria-julia14@example.net,+55 85 92057-6604,28532.09,Compacto,Cartão de Crédito
166,Luiz Fernando,M,01/05/1980,AL,oliver51@example.com,+55 (38) 9 8039 2516,45416.45,Coupé,Leasing
167,Gabriel,M,03/07/2001,RS,jcirino@example.net,+55 (94) 96694 8270,58477.61,Minivan,Boleto Bancário
168,Ester,F,27/01/1972,AP,fcamargo@example.net,+55 60 9 8076-8131,14884.71,Conversível,Cartão de Débito
169,Diego,M,13/07/1980,RJ,maria-florsiqueira@example.org,+55 68 9 1044 4074,29906.18,Coupé,Dinheiro
170,Ana Luiza,F,16/02/1957,GO,nascimentovitoria@example.com,+55 (080) 98999 1141,22799.62,Off-road,Cartão de Crédito
171,Eduarda,F,23/09/1962,DF,luiz-gustavosiqueira@example.org,+55 (083) 93768-1659,15601.74,Esportivo,Financiamento
172,Luana,F,27/10/1973,SE,silveiramatteo@example.com,+55 30 9 7354-4566,39274.51,Hatch,Pix
173,Aylla,F,01/01/1976,DF,da-conceicaomelina@example.org,+55 04 9 6394-2136,49546.18,Conversível,Cartão de Crédito
174,Maria Flor,F,21/07/1978,AM,da-matajoao-lucas@example.org,+55 (079) 98147-4526,16222.87,Compacto,Leasing
175,Joana,F,06/04/1954,AM,thomas90@example.net,+55 (86) 9 7544-7167,10636.43,Off-road,Pix
176,Leonardo,M,27/11/1998,PE,melobenjamim@example.org,+55 56 98654 6678,33152.3,Sedan,Leasing
177,Davi,M,03/03/1977,PR,vicente75@example.org,+55 51 9 2788-0061,18832.86,Médio,Transferência Bancária
178,Sabrina,F,23/05/1982,RO,liviadias@example.org,+55 (059) 94871 9145,51430.07,Crossover,Cartão de Crédito
179,Noah,M,05/10/1993,PE,riosaugusto@example.org,+55 (41) 9 8760 8385,24080.03,Híbrido,Financiamento
180,Stephany,F,04/10/1947,TO,henry-gabrielaraujo@example.org,+55 76 9 1081-3971,40463.65,Elétrico,Carteira Digital
181,Yago,M,30/07/1972,MA,ecardoso@example.org,+55 58 98205-8968,47840.9,SUV,Cartão de Crédito
182,João Miguel,M,12/03/1946,MA,alexiacampos@example.org,+55 64 9 4367 2212,24136.3,Conversível,Cartão de Débito
183,Maria Fernanda,F,30/06/1960,MT,limaluan@example.org,+55 37 98641-7010,38856.65,Luxo,Carteira Digital
184,Maria Alice,F,06/07/1984,MT,pereiraandre@example.org,+55 (092) 94463 7240,38620.15,Off-road,Boleto Bancário
185,Maria Sophia,F,03/06/1953,DF,joao-gabriel71@example.com,+55 05 90578 5145,18603.06,Minivan,Dinheiro
186,José,M,16/03/1995,TO,joao-miguelcassiano@example.net,+55 (050) 90089 7909,8420.04,Esportivo,Carteira Digital
187,Otávio,M,22/09/1946,RJ,montenegroheloisa@example.org,+55 12 9 9906 5011,10385.01,Hatch,Pix
188,Isaac,M,22/07/1980,RS,qfreitas@example.com,+55 (69) 9 5264-9766,36094.34,SUV,Pix
189,Stella,F,27/05/1977,MG,helena74@example.com,+55 (088) 97096-4831,32245.97,Minivan,Transferência Bancária
190,Dom,M,12/02/1983,AP,vsales@example.net,+55 (09) 9 0455 4178,59611.98,Van,Financiamento
191,Eloá,F,22/01/1983,MS,moreiraalexandre@example.com,+55 17 92548-1992,45493.51,Van,Financiamento
192,Benicio,M,03/01/1953,AM,marcela34@example.net,+55 (90) 90663 9858,42832.28,Off-road,Financiamento
193,Fernanda,F,28/11/1971,AC,beatrizoliveira@example.net,+55 (089) 96480-1604,57295.71,Hatch,Cartão de Crédito
194,Hadassa,F,21/12/1968,GO,da-motaana-cecilia@example.org,+55 (40) 98690-7318,10358.71,Esportivo,Carteira Digital
195,Guilherme,M,04/04/1993,RS,iduarte@example.com,+55 (76) 9 9628 6516,53052.9,Compacto,Boleto Bancário
196,Melina,F,13/02/2001,RJ,gmendes@example.net,+55 (55) 9 8114-8182,15368.42,Compacto,Carteira Digital
197,Bianca,F,25/02/1980,ES,joao-pedro79@example.org,+55 (71) 91091-4475,25427.45,Van,Cartão de Débito
198,Mariana,F,13/03/1976,SP,igorlopes@example.net,+55 (41) 9 0671-9254,54852.53,Luxo,Boleto Bancário
199,Giovanna,F,22/09/2006,BA,joao-guilherme95@example.net,+55 59 90489-6095,43023.62,Conversível,Carteira Digital
200,Vinicius,M,03/12/1989,RR,olivia93@example.org,+55 (088) 92135 4823,47279.19,Crossover,Cartão de Crédito
201,Esther,F,25/12/1999,RR,hrocha@example.com,+55 (18) 97651-6324,46713.07,Conversível,Boleto Bancário
202,Matteo,M,21/04/1960,SE,ana-luiza44@example.com,+55 (38) 9 7400-8154,28865.67,Luxo,Pix
203,Benício,M,14/05/1985,PB,castromarcos-vinicius@example.com,+55 (08) 91330-0277,39559.77,Híbrido,Pix
204,Maria Alice,F,15/07/1960,RN,ocavalcanti@example.com,+55 (79) 9 4494-0203,57029.07,Crossover,Cartão de Crédito
205,Gabrielly,F,11/09/1964,PA,lara95@example.net,+55 (098) 91908-9187,8885.44,Sedan,Cartão de Crédito
206,Alana,F,20/05/1977,DF,ucardoso@example.com,+55 96 9 6782-5281,59635.99,Minivan,Financiamento
207,Benicio,M,18/07/1982,MG,joao69@example.com,+55 (000) 90422-7428,39972.77,Crossover,Leasing
208,Erick,M,23/06/2004,MA,pnovais@example.net,+55 38 92216-4891,59312.11,Médio,Dinheiro
209,Lavínia,F,21/09/2001,GO,sampaiomaria-flor@example.net,+55 33 94919-7976,41221.77,Crossover,Transferência Bancária
210,Mathias,M,20/06/1955,DF,ada-paz@example.com,+55 (093) 94218-4112,9360.71,Hatch,Dinheiro
211,Henry,M,03/05/1955,RR,davi-miguel37@example.net,+55 (18) 9 5428 1223,32337.52,Esportivo,Cartão de Débito
212,Kaique,M,15/12/2006,RJ,elisasiqueira@example.com,+55 89 9 2461-8131,57083.86,Luxo,Carteira Digital
213,Benjamim,M,11/09/2006,RO,dante74@example.com,+55 (24) 94385 9952,22906.99,Hatch,Pix
214,Rafael,M,13/01/2002,PR,agathalima@example.com,+55 57 9 3179-2044,54630.75,Conversível,Carteira Digital
215,Lorenzo,M,25/11/1982,AM,siqueiramaria-sophia@example.com,+55 (027) 98825 7267,36424.81,Van,Transferência Bancária
216,Larissa,F,14/12/1944,RS,asa@example.net,+55 24 94369 2359,25184.5,Hatch,Cartão de Débito
217,Lorena,F,25/05/1989,MG,gpereira@example.org,+55 05 9 2936-6654,41359.2,Utilitário,Pix
218,Kevin,M,30/05/1989,PE,ana-carolinacampos@example.com,+55 51 9 7128-6625,51831.53,Compacto,Dinheiro
219,Lara,F,19/08/2005,PR,luanafonseca@example.com,+55 (10) 9 5411 1959,42009.96,Conversível,Leasing
220,Kamilly,F,26/08/1975,PE,eloamoreira@example.net,+55 (034) 96165 1976,15510.63,Minivan,Boleto Bancário
221,Luiza,F,01/01/2003,RS,carvalhobenjamin@example.com,+55 25 9 3915-6965,6103.11,Hatch,Transferência Bancária
222,Joaquim,M,29/10/1999,MS,miguelnogueira@example.net,+55 86 9 6456-3978,10346.08,Luxo,Dinheiro
223,Esther,F,16/04/1950,ES,raquelandrade@example.net,+55 (07) 9 9094 3220,35297.26,Sedan,Cartão de Crédito
224,Lucas Gabriel,M,24/01/1947,BA,da-cunhatheo@example.com,+55 07 91920 3662,40254.77,Coupé,Carteira Digital
225,Caroline,F,29/07/1989,PI,pintoapollo@example.com,+55 (68) 92029 5201,15765.24,Elétrico,Pix
226,Valentina,F,09/01/1990,RJ,pcorreia@example.net,+55 (44) 9 6167 3323,10186.85,SUV,Carteira Digital
227,Gabriel,M,28/05/1962,CE,balves@example.net,+55 58 96951 4813,43255.99,Hatch,Leasing
